Test-Train Split (%),Max_depth,Min_Sample_Split,Time taken to train classifier (sec),Memory used (MB),CPU used,Accuracy Score,Precision Score,F1-Score,Recall Score
10.0,7,3,0.0006365776062011719,0.0,0.0,1.0,1.0,1.0,1.0
10.0,7,4,0.0003581047058105469,0.0,0.0,1.0,1.0,1.0,1.0
10.0,7,5,0.00034737586975097656,0.0,0.0,1.0,1.0,1.0,1.0
10.0,7,6,0.00039505958557128906,0.0,0.0,1.0,1.0,1.0,1.0
10.0,7,7,0.0003998279571533203,0.0,0.0,1.0,1.0,1.0,1.0
10.0,7,8,0.0003857612609863281,0.0,0.0,1.0,1.0,1.0,1.0
10.0,7,9,0.0003864765167236328,0.0,95.2,1.0,1.0,1.0,1.0
10.0,7,10,0.0003807544708251953,0.0,0.0,1.0,1.0,1.0,1.0
10.0,8,2,0.00038695335388183594,0.0,0.0,1.0,1.0,1.0,1.0
10.0,8,3,0.0003883838653564453,0.0,0.0,1.0,1.0,1.0,1.0
10.0,8,4,0.00039076805114746094,0.0,0.0,1.0,1.0,1.0,1.0
10.0,8,5,0.0003674030303955078,0.0,0.0,1.0,1.0,1.0,1.0
10.0,8,6,0.0003688335418701172,0.0,0.0,1.0,1.0,1.0,1.0
10.0,8,7,0.0003654956817626953,0.0,0.0,1.0,1.0,1.0,1.0
10.0,8,8,0.00034928321838378906,0.0,0.0,1.0,1.0,1.0,1.0
10.0,8,9,0.0003485679626464844,0.0,0.0,1.0,1.0,1.0,1.0
10.0,8,10,0.00036263465881347656,0.0,0.0,1.0,1.0,1.0,1.0
10.0,9,2,0.0003457069396972656,0.0,0.0,1.0,1.0,1.0,1.0
10.0,9,3,0.0003535747528076172,0.0,0.0,1.0,1.0,1.0,1.0
10.0,9,4,0.0003464221954345703,0.0,0.0,1.0,1.0,1.0,1.0
10.0,9,5,0.0003421306610107422,0.0,0.0,1.0,1.0,1.0,1.0
10.0,9,6,0.0003349781036376953,0.0,0.0,1.0,1.0,1.0,1.0
10.0,9,7,0.00034999847412109375,0.0,0.0,1.0,1.0,1.0,1.0
10.0,9,8,0.0003616809844970703,0.0,0.0,1.0,1.0,1.0,1.0
10.0,9,9,0.0003612041473388672,0.0,0.0,1.0,1.0,1.0,1.0
10.0,9,10,0.0003464221954345703,0.0,0.0,1.0,1.0,1.0,1.0
10.0,10,2,0.0003657341003417969,0.0,0.0,1.0,1.0,1.0,1.0
10.0,10,3,0.0003447532653808594,0.0,0.0,1.0,1.0,1.0,1.0
10.0,10,4,0.0003552436828613281,0.0,0.0,1.0,1.0,1.0,1.0
10.0,10,5,0.0006761550903320312,0.0,0.0,1.0,1.0,1.0,1.0
10.0,10,6,0.0003399848937988281,0.0,0.0,1.0,1.0,1.0,1.0
10.0,10,7,0.0003178119659423828,0.0,0.0,1.0,1.0,1.0,1.0
10.0,10,8,0.0003287792205810547,0.0,0.0,1.0,1.0,1.0,1.0
10.0,10,9,0.0003337860107421875,0.0,0.0,1.0,1.0,1.0,1.0
10.0,10,10,0.0003261566162109375,0.0,0.0,1.0,1.0,1.0,1.0
20.0,2,2,0.0004487037658691406,0.12890625,0.0,1.0,1.0,1.0,1.0
20.0,2,3,0.0002951622009277344,0.0,0.0,1.0,1.0,1.0,1.0
20.0,2,4,0.00031256675720214844,0.0,94.8,1.0,1.0,1.0,1.0
20.0,2,5,0.0006508827209472656,0.0,0.0,1.0,1.0,1.0,1.0
20.0,2,6,0.0003209114074707031,0.0,0.0,1.0,1.0,1.0,1.0
20.0,2,7,0.00031065940856933594,0.0,0.0,1.0,1.0,1.0,1.0
20.0,2,8,0.0003285408020019531,0.0,0.0,1.0,1.0,1.0,1.0
20.0,2,9,0.0003116130828857422,0.0,0.0,1.0,1.0,1.0,1.0
20.0,2,10,0.00031065940856933594,0.0,0.0,1.0,1.0,1.0,1.0
20.0,3,2,0.0003495216369628906,0.0,0.0,1.0,1.0,1.0,1.0
20.0,3,3,0.0003452301025390625,0.0,0.0,1.0,1.0,1.0,1.0
20.0,3,4,0.00032138824462890625,0.0,0.0,1.0,1.0,1.0,1.0
20.0,3,5,0.0003368854522705078,0.0,0.0,1.0,1.0,1.0,1.0
20.0,3,6,0.00033211708068847656,0.0,0.0,1.0,1.0,1.0,1.0
20.0,3,7,0.00032520294189453125,0.0,0.0,1.0,1.0,1.0,1.0
20.0,3,8,0.0003352165222167969,0.0,0.0,1.0,1.0,1.0,1.0
20.0,3,9,0.0003445148468017578,0.0,0.0,1.0,1.0,1.0,1.0
20.0,3,10,0.0003390312194824219,0.0,0.0,1.0,1.0,1.0,1.0
20.0,4,2,0.0003209114074707031,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,4,3,0.00033092498779296875,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,4,4,0.00033473968505859375,0.0,0.0,1.0,1.0,1.0,1.0
20.0,4,5,0.00031948089599609375,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,4,6,0.0003495216369628906,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,4,7,0.0003285408020019531,0.0,0.0,1.0,1.0,1.0,1.0
20.0,4,8,0.0003445148468017578,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,4,9,0.0003235340118408203,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,4,10,0.0003180503845214844,0.0,94.7,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,5,2,0.0003426074981689453,0.0,0.0,1.0,1.0,1.0,1.0
20.0,5,3,0.0003418922424316406,0.0,0.0,1.0,1.0,1.0,1.0
20.0,5,4,0.0003819465637207031,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,5,5,0.00033092498779296875,0.0,0.0,1.0,1.0,1.0,1.0
20.0,5,6,0.00037384033203125,0.0,0.0,1.0,1.0,1.0,1.0
20.0,5,7,0.0003311634063720703,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,5,8,0.0003838539123535156,0.0,0.0,1.0,1.0,1.0,1.0
20.0,5,9,0.00035452842712402344,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,5,10,0.00039505958557128906,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,6,2,0.00034236907958984375,0.0,0.0,1.0,1.0,1.0,1.0
20.0,6,3,0.0005245208740234375,0.0,0.0,1.0,1.0,1.0,1.0
20.0,6,4,0.0006346702575683594,0.0,0.0,1.0,1.0,1.0,1.0
20.0,6,5,0.0003330707550048828,0.0,0.0,1.0,1.0,1.0,1.0
20.0,6,6,0.0003211498260498047,0.0,0.0,1.0,1.0,1.0,1.0
20.0,6,7,0.0005590915679931641,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,6,8,0.00033402442932128906,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,6,9,0.00031280517578125,0.0,0.0,1.0,1.0,1.0,1.0
20.0,6,10,0.000335693359375,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,7,2,0.0003268718719482422,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,7,3,0.0003733634948730469,0.0,0.0,1.0,1.0,1.0,1.0
20.0,7,4,0.00042700767517089844,0.0,0.0,1.0,1.0,1.0,1.0
