Test-Train Split (%),Max_depth,Min_Sample_Split,Time taken to train classifier (sec),Memory used (MB),CPU used,Accuracy Score,Precision Score,F1-Score,Recall Score
20.0,4,5,0.004325389862060547,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,4,6,0.0029449462890625,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,4,7,0.002773761749267578,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,4,8,0.0027081966400146484,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,4,9,0.002763509750366211,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,4,10,0.0027227401733398438,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,5,2,0.0030443668365478516,0.0,76.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,5,3,0.0029900074005126953,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,5,4,0.0029249191284179688,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,5,5,0.0028710365295410156,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,5,6,0.0028676986694335938,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,5,7,0.002761363983154297,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,5,8,0.0027153491973876953,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,5,9,0.003118276596069336,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,5,10,0.002840280532836914,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,6,2,0.0029611587524414062,0.0,76.3,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
